?	Incosistent data	?
1	T & M Royal Caribbean, USA	H
2	United Cinemas, Tokoyo, Japan	H
3	Grand Formosa Regent, Taipei	H
4	Category Fore/Golfit	H
5	Eastview Hotel, Miami	H
6	Sheraton  Park Tower	H
7	Sheraton Hotel, Manchester	H
8	Grand Bank Center	H
10	Chia Tai Shopping Mal China	H
11	?	H
12	Le Meridien Singapore	H
13	Richmond Hotel, Miami Florida	H
14	Philamlife Tower Club, Manila	H
15	Tung Wan Club House, Hong Kong	H
16	George & Co.Bar, Park Lane HK	H
17	OMNI RESTAURANT, N.Y.	H
18	CIG Centre(Glion Hotel School)	H
19	ATHENS HILTON	H
21	HOTEL DU LAC Tunisia	H
22	Sheraton Hotel, Kowloon	H
22.1	SHERATON KOWLOON LIFT &DRIVEWA	H
23	Hyatt Regency Guatemla	H
24	New World Tower, Shanghi	H
25	Shangri la Kowloon	H
26	Makati Shangri-la Manila	H
27	Edsa Shangri-la  Manila	H
101	Ocean Hammock Club	H
102	HILTON GUAM RESORT & SPA	H
103	Hilton Osaka, Japan	H
104	Park Hyatt Mumbai	H
105	H.R.Deli, Pub.Area/Pres Suites	H
106	HYATT REGENCY PARIS MADALEINE	H
107	LE MERIDIEN BANGKOK	H
108	Villa Magna Hotel Madrid Spain	H
109	Hilton Sidney	H
110	MAYFAIR HOTEL, SHANGHAI	H
110.1	Ramada Plaza - Bar	H
111	KUNLUN HOTEL BEIJING	H
112	HYATT REGENCY  LISBON	H
113	Hyatt Regency Casablanca	H
114	Shangri-la Pudong	H
115	Harbour Plaza Presidential ste	H
116	Shangri-La Dubai	H
117	New World Office Main Lobby	H
118	Mayfair Hotel 4th Level Public	H
120	Costa Dorada Resort & Residenc	H
121	Le Meridien cairo Royal Suites	H
122	PHILIPPE VALEIX APARTMENT	H
123	NEW WORLD TOWER, L4,L5,L11	H
124	Branksome II Development	H
126	French Quarter Hotel, Shanghai	H
201	Hyatt Regency Mumbai-Suites	H
202	Kunlun Hotel(Executive Rooms)	H
205	New World Tower, 3rd Level	H
206	Kunlun Lobby Corridors	H
207	TSNEN WAN, N.T. SERV.APT/CLUB	H
208	?	H
209	TSNEN WAN N.T.SERV.APT.RESIDEN	H
210	MONT PARNES HOTEL & CASINO	H
211	RAMADA PLAZA, CHINESE RESTAURA	H
212	KUNLUN HOTEL/REVOLVING REST.	H
214	Hyatt Regency Delhi/Various	H
215	Additional Services Mongkok K2	H
216	MARINA SQUARE HOTEL & CASINO	H
216.1	MARINA SQUARE JOB SITE	H
216.2	MARINA SQUARE ADDITIONAL SERVICES	H
217	KEMPINSKY HOTEL	H
218	CHATEAU REGALIA, BEIJING	H
302	Shanghai Shi Mao Int'l Plaza	H
302.1	Shanghai Shimao Int. Plaza Italian Rest.	H
302.2	Shanghai Shi Mao Int'l Plaza Add. Serv. L7	H
303	H. R. Calcutta-Add Ser-Club K	h
304	IFC SERVICE APT. MODEL ROOM	H
305	GRAND HYATT HONG KONG, PA	H
306	SHANGRI-LA MAKATI/ISLAND CAFE	h
307	KUNLUN MAIN LOBBY	H
308	KUNLUN FUNCTION ROOMS	H
309	East Seaport Hotel - Ningdo	H
310	KUNLUN MR. LIU'S CONFERENCE RM	H
311	Four Seasons Serv. Apart. H.K.	H
311.1	Four Seasons IFC Penthouse apar	h
311.2	Hong Kong Station-Admin. Consultancy	H
311.3	Hong Kong Station Additional Work to suites	H
312	XINYUAN BEIJING APARTMENTS	H
313	Park Lane Hotel/Cafe Rest.	h
314	DEEP BLUE PLAZA	h
314.1	Deep Blue Plaza Apartament F	h
316	Four Seasons Mumbai	H
316.1	Four Seasons Mumbai-Health Club Additional Service	h
316.2	Four Seasons Mumbai Executive Club-Level 33	H
316.3	Four Sesaons Mumbai L34 - Alfresco Bar	H
317	Hyatt Regency Nanjing	H
317.1	Hyatt Regency Nanjing-Additional Services	H
319	Deep Blue Plaza/  Penthouse	H
401	Shimao Sheshan	H
402	Spring River & Flower Moon	h
404	Dong Guan - Hyatt Regency Hotel	h
405	Dong Guan - Shek Pai Hotel - China	H
406	Golden Harvest	H
410	Shimao Sheshan Villas	H
411	H.R. Delhi Lobby	H
413	Jimmy Yu's Restaurant	H
414	Shangri-La Kowloon Porte de Cochere	H
415	Hyatt Regency Colombo, Sri Lanka	H
416	Mr. William Doo's Residence	H
419	Beijing Shangri-La Exterior Arch. Concept	H
420	Xian Shangri-La Hotel  Exterior Arch. Concept	H
421	Grand Hyatt Hong Kong	H
421.1	Grand Hyatt Hong Kong-Additional Service	H
421.2	Grand Hyatt Hong Kong-Signage	H
421.3	GH HK - Ball room foyer, carpet rugs at G/F	h
421.4	GH HK - Grissini Lift Lobby at 2/F	h
421.5	GH HK - Bell Desk G/F	h
421.6	GH HK - Lobby Entrance, carperr gugs at G/F	h
421.7	GH HK - Lobby Seating Group at G/F and M/F	H
421.8	G. H. H. K. -Grand Café Serv Station & Recep Desk	H
422	Hyatt Regency Dong Guan F&B Exhibition Center	h
423	Four Seasons Munbai /Phase II Serv. Ap.	H
424	Edsa Shangri-La - Ext. Arch. Concept	H
501	InterContinental Grand Stanford	H
502	Harbour Vantage Management Ltd.	H
503	Zhoushan Hotel	h
504	Grand Hyatt Kuala Lumpur	H
504.1	Grand Hyatt Kuala Lumpur - Add Fee	H
504.2	Grand Hyatt Kuala Lumpur - Add. Serv.	H
505	Nanjing International Plaza Hotel	H
507	Shimao Sheshan Le Meridien Hotel Additional Areas	H
508	Amerit Sales Office, Singer Island	H
509	Four Seasons Kremlin, Moscow	H
510	Four Seasons Moskva, Moscow	H
511	Four Seasons Hotel , Bahrain	H
511.1	Four Seasons Hotel , Bahrain Additional Services	H
512	Sheraton Grande Sukhumvit	H
513	Qing Long QIao Apart Show Flat,Beiji	h
515	Deep Blue Plaza-Penthouse	H
516	Hyatt Regency Delhi / Residence Function Space	h
516.1	Hyatt Regency Delhi / Typical Guest Room	h
517	Kunlun Café Restaurant	H
518	Hyatt Regency Pune, India	H
519	Shanghai Rose Garden	H
522	Huazhe Bund Shanghai	H
522.1	Huazhe Bund Bldg. #2-Apt.RM Type Int. Desgn Serv	H
522.2	Shanghai Huazhe Bund - FF&E Supp. Agreement	H
523	Grand Hyatt Beijing	H
524	Deep Blue Plaza-Office BLDG Lobby	h
525	Nanjing International Westin Hotel	H
526	Nanjing Int'l Plaza PHI Yu Ji Hua Fu Show Flat	H
526.1	Nanjing Int'l Plaza North Tower Apt. L38-39	H
528	Shangri-La Bangalore	H
530	Westin Resort Coloane, Macau	h
531	Po Li Golf President Zhu's Luxury Villa	H
532	Zhuyu City Apartments and Townhouse	H
532.1	InterWest Townhouse South North Direct (New Unit)	h
601	Apartment of Beijing Mansion	h
602	Star River Room Type Layout Adjustment	h
602.1	Beijing Star River -Lux-Apt. Show Flat-T B51&B10A	H
603	Hangzhou Yuhang Guihuacheng	H
604	Golden Sand Resort	H
605	Hangzhou Rose Garden	H
606	Hyatt Regency Delhi/Polo Lounge& Private Residence	H
607	Renaissance Hotel, Bangalore	H
608	Liu Zhuang Apartment	H
608.01	Zhejiang Greentown Real Estates Dev. Co.	H
608.1	Liu Zhuang Club House	H
609	Greentown Bi Shui Qing Feng	H
611	Beijing Yaohui International Plaza	H
611.1	Beijing Yaohui Club House	H
612	21st Century Tower/F.S. Shanghai/Serv. Apt	H
612.1	21ST Century Tower - Shanghai - Add Design Serv.	H
613	Hyatt Regency Grand Cypress, Orlando	H
614	CMPD Banshan Meilun Apartment & Boutique Hotel	H
615	Resort & Spa At The Palm Jumeirah, Dubai	H
616	Macau Lot "U" Hotel and Residential Apart, Macau	H
616.1	Macau Lot "U"-T7	H
616.2	Macau Lot U - Additional Fee	H
616.3	T1-T5 Residential Lift Car Re-design Fee	H
617	Shenzhen Wan Ke 17 Miles - Villa	H
618	JinShaGang Resort, Hangzhou-Four Seasons Hotel	H
618.1	Jinshagang Resort, Hangzhou FS.Hotel Add Redsg TG	H
619	JinShaGang Resort, Hangzhou-Villa A1,A2, A3,A4& B4	H
619.1	Hangzhou Jinshagang Villa(Alterat Villa A1,2,3,&B4	H
619.2	Hangzhou Jinshagang Villa (Add Villa B1, B3)	H
619.3	Hangzhou JinShaGang Resort - Add Villas (B1 & B3)	H
620	Kuching Tower Project in Sarawak Malaysia	H
622	Park Hyatt Guangzhou	H
702	Four Seasons Denver	H
705	Four Seasons Beijing, Service Apartments	H
705.2	Four Seasons Serviced Apart. -Add Serv.	h
705.3	Four Seasons Beijing Apt Health Club L3-4(redesign	h
706	Taj Exotica Resort & Spa	H
707	Hyatt Regency, Mumbai - Renovation	H
708	Shenzhen Van Ke East Coast	H
708.1	Vanke East Coast Phase IV Interior Design	H
709	Tiangjin City Xikang Road #36	h
711	Beijing Yaohui South Tower	H
712	Marriot Guangzhou Serv. Apt (Ehujian new town)	H
713	Damansara City, Kuala Lumpur	H
715	Vanke Jin Yu Hua Ting Phase I Int. Design Projects	H
716	Vanke Niu Lan Wo Phase I Interior  Design Projects	H
717	Vanke Cheng Phase IV Interior Design Projects	H
718	Phuket Kamala Beach, Thailand	H
719	Cove 4 Shenzhou, Peninsula, Hainan	H
719.1	Cove 4 Shenzhou, Peninsula, Hainan-Add Serv	H
720	Hyatt Regency Delhi / Various Renovations	H
721	Beij Dongzhimen Transp.Hub&Donghua Int'l Plaza Dev	H
721.2	Beijing Dongzhimen Supplementary Agreement 2	h
722	CMPD Shekou Xin ShiDai Guang Chang RoofTop ClubHou	H
723	Jinzhou International Hotel	H
724	Shangri-La Hotel, Bangkok	H
724.1	Shangri-La Hotel, Bangkok - Additional Fee	H
725	Guangzhou Poly World trade Center InterContinental	H
802	Eastern & Oriental Hotel In Penang	H
803	Hyatt Regency Hyderabad	H
804	Nanjing Westin Hotel	H
804.2	Nanjing Westin Hotel Add Serv. Meeting RM	H
805	Hyatt Regency , Navi Mumbai	H
806	Suzhou Jinji Lake	H
807	Nanchang Crowne Plaza Hotel	H
812	Hilton Panama City	H
813	Hainan Island Wanning Resdential Development	H
814	Hard Rock Hotel, Dubai	H
815	Saraya Islands: Taj Exotica	H
817	Xiamen Straits Int'l Community Residential	H
818	Lot 334 Kelantan Land, Kuala Lumpur	H
820	Jin Zhou wan Bo Cultural & Sport Conven & Ext CTR	H
821	Indigo Hotel Concept Design	H
822	Xinjiang (Urumqi) Office Lobby & Ph I Residential	H
823	Hangzhou Intercontinental Hotel	H
901	Qinghai Geermu New Century Hotel	H
902	Hangzhou InterContinental, China	H
903	Beijing U-Town Maritim Hotel, China	H
904	Penthouse Hotel, Panama	H
906	Fengyuan Golden Rose Hotel Arch. Concept. Design	H
907	Qinghai Geermu Chairman Apart.	h
908	Jiangyin Xicheng Crowne Plaza Hotel	A
909	Osaka Station North Yard Hotel & Resident, Japan	h
910	Hyatt Regency Delhi (Apartments)	H
911	Hyatt Regency Delhi (Suites)	H
912	Hyatt Regency Delhi India-Various Renovations, Ind	H
913	Fengyuan Rose City Taian RD Comm St. Arch. Conc DS	H
914	Shanghai Guoman Chengfeng City Hotel	h
915	Beijing U-Town Maritim Hotel	H
916	Hangzhou Jindu Residental Apt Model RM Int. Dsgn S	h
918	Shanghai Huazhe Bund Huangpu	H
919	Gemdale Shanghai Residential	H
919.2	Gemdale Shanghai Qingpu Residential - Add Serv	H
920	Shanghai Xiaonanguo Hotel, China	h
921	Chongqing New World Hotel & Resid Int Serv GR&PA	H
923	Beijing kunlun Gardens, China	H
100	GENERAL OFFICE	H
1001	Hainan Clear Bay JW Marriott Hotel	h
1002	Dalian Star Sea Bay Residential	H
1003	Guiyang New World Hotel	h
1004	Changchun Hyatt Regency Hotel	H
1005	Xiamen Jindu Resid Aprt Model RM,Main Lobby&Club H	h
1005.2	Xiamen Jindu Resid Aprt Model RM,A,B,E,F,G	H
1007	Beijing Kunlun Hotel Deluxe Suite	H
1008	Qingdao Tianyi Gulf Villa #5 & #7 Model Rm, China	h
1009	H. R. Hotel Delhi / Various Renovation (Full/Soft)	H
1010	The Magnolias Club Gurgaon	A
1010.0	The Magnolias Club/Addendum 1,2&3	H
1010.2	The Magnolias Club Gurgaon	h
1011	New World Hotel Makati City, Manila	H
1012	Tianjin Tanggu Lot B-15 Hotel	h
1013	GreenTown Beijing Tongzhou Residential	A
1014	Taiyuan Kempinski Hotel, China	H
1014.1	Taiyuan Kempinski Hotel-Add Model Rm-Stand Twin	H
1014.2	Taiyuan Kempinski Hotel JobSite	H
1014.3	Taiyuan Kempinski Hotel-Resident Job Site Coord	H
1014.4	Taiyuan Kempinski Hotel-Resident Job Site Coord	H
1014.5	Taiyuan Kempinski Hotel-Resident Job Site Coord	h
1014.6	Taiyuan Kempinski Hotel-Resident Job Site Coord	h
1015	Tianjin Binhai Crowne Plaza Hotel, China	A
1016	Suzhou Greentown Rose Garden Resid MRM& Club House	H
1016.2	Suzhou Greentown Rose Gardens Villa, China	A
1017	Greentown Tianjin Tanggu Lot B-14 Residential	h
1018	Beijing Yuecai Hotel, China	A
1019	Beijing Tongzhou Hilton Hotel, China	A
1020	W Panama Hotel	H
1021	Greentown Fuchun Heyuan Club House	H
1022	Yixing Xiying Residential, China	H
1022.1	Yixing Xiying Residential, China	h
1023	Hangzhou Lanyuan Resid & Club House	h
1023.1	Hangzhou Lanyuan Lot A Serv. Apt.	h
